,request,conversation,score
10,Find and purchase a ticket from Barcelona to Tel Aviv.,,0
11,I need to book a flight from Paris to Bangkok.,,0
12,Get me a ticket from Buenos Aires to Los Angeles.,,0
13,I need a ticket from San Francisco to Hong Kong.,,0
14,"Buy a flight from Melbourne to Berlin, next Wednesday.",,0
15,Find a ticket from Las Vegas to Helsinki.,,0
16,Purchase a ticket from Dublin to Ufa.,,0
17,Arrange a flight from Istanbul to Rome next Monday.,,0
18,Secure a ticket from Nizhny Novgorod to Amsterdam next Thursday.,,0
19,Book a flight from Chicago to Vienna.,,0
